Agent:,Mean score:,Std. deviation:,Std. deviation err:,MaxMinN-Mean:,MaxMinN-SD:,MaxMinN-SE:,Winrate:,Winrate-SE:,Median:,Quart 1:,Quart 3:,Max:,Min:,Mean tick:,Std tick:,Std tick err:,Actions entropy:,Actions entropy err:,Mean num interactions:,Mean num av. interactions:,Mean num sprites:,Mean num sprites added:,Mean num sprites killed:,Mean num wall sprites:,
Explorer,0.9,0.31622785,0.100000024,0.95,0.15811402,0.05000004,0.9,0.09486835,1.0,1.0,1.0,1.0,0.0,193.3,98.71063,31.215042,0.8502287,0.11284496,448.2,408.9,252.2,25.22,17.6,90.0,
DeepSearch,0.1,0.31622776,0.1,0.15,0.3374743,0.10671874,0.1,0.094868325,0.0,0.0,0.0,1.0,0.0,1821.5,564.4665,178.49997,0.7282544,0.14067692,1173.0,686.0,266.0,26.6,274.0,90.0,
MCTS,0.5,0.52704626,0.16666666,0.55,0.49721447,0.15723301,0.5,0.15811388,0.5,0.0,1.0,1.0,0.0,641.0,430.485,136.1313,0.8121327,0.123520516,457.2,305.5,265.8,26.579998,79.0,90.0,
Onestep-S,0.0,0.0,0.0,0.05,0.15811388,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.9,85.12925,26.920233,0.6135127,0.15398535,33.2,13.6,247.5,24.75,8.6,90.0,
Random,0.0,0.0,0.0,0.05,0.15811388,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,5.8347616,1.8451136,0.8450008,0.11444406,2.9,2.6,240.5,24.05,1.0,90.0,
Do Nothing,0.0,0.0,0.0,0.05,0.15811388,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,528.0,0.0,265.7,26.570002,294.0,90.0,
