Agent:,Mean score:,Std. deviation:,Std. deviation err:,MaxMinN-Mean:,MaxMinN-SD:,MaxMinN-SE:,Winrate:,Winrate-SE:,Median:,Quart 1:,Quart 3:,Max:,Min:,Mean tick:,Std tick:,Std tick err:,Actions entropy:,Actions entropy err:,Mean num interactions:,Mean num av. interactions:,Mean num sprites:,Mean num sprites added:,Mean num sprites killed:,Mean num wall sprites:,
Explorer,334.6,485.81256,153.62743,0.53453577,0.49296916,0.15589054,0.3,0.14491376,50.0,17.5,550.0,1042.0,1.0,705.6,325.79245,103.02462,0.99622244,0.019399209,520.3,310.0,36.2,3.6200001,190.4,0.0,
DeepSearch,433.6,520.84656,164.70615,0.654553,0.45209038,0.14296353,0.6,0.15491933,44.5,27.0,1025.0,1054.0,3.0,745.9,334.72485,105.84929,0.9897403,0.03186601,481.2,185.4,38.5,3.85,266.4,0.0,
MCTS,25.0,6.4807405,2.04939,0.2729186,0.3468218,0.109674685,0.7,0.14491376,26.5,19.5,30.0,33.0,12.0,898.8,217.8561,68.89214,0.9989196,0.010388582,1210.0,850.1,40.6,4.06,305.1,0.0,
Onestep-S,10.9,12.485103,3.948136,0.051926963,0.0866672,0.027406575,0.0,0.0,7.0,0.0,15.5,32.0,0.0,340.7,252.71986,79.91704,0.94168353,0.0741051,338.4,158.2,37.4,3.7400002,168.6,0.0,
Random,1.4,2.366432,0.7483315,0.01697265,0.041789692,0.01321506,0.0,0.0,0.0,0.0,1.5,7.0,0.0,93.0,100.52971,31.790285,0.99844927,0.012443188,99.0,76.9,37.0,3.7,24.0,0.0,
Do Nothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.3,85.06997,26.901485,0.0,0.0,20.1,15.0,35.7,3.5700002,7.7,0.0,
