Agent:,Mean score:,Std. deviation:,Std. deviation err:,MaxMinN-Mean:,MaxMinN-SD:,MaxMinN-SE:,Winrate:,Winrate-SE:,Median:,Quart 1:,Quart 3:,Max:,Min:,Mean tick:,Std tick:,Std tick err:,Actions entropy:,Actions entropy err:,Mean num interactions:,Mean num av. interactions:,Mean num sprites:,Mean num sprites added:,Mean num sprites killed:,Mean num wall sprites:,
Explorer,84.3,11.343593,3.587159,0.8802907,0.1596999,0.050501544,0.9,0.09486835,87.5,75.5,92.5,98.0,62.0,167.4,46.854866,14.81681,0.6462647,0.15119743,324.2,0.8,81.9,8.190001,100.0,42.0,
DeepSearch,92.7,13.880848,4.3895097,0.95276546,0.072464034,0.02291514,1.0,0.0,88.5,82.0,104.5,110.0,71.0,173.6,43.8563,13.86858,0.6602579,0.1497723,343.2,0.0,77.9,7.79,108.1,42.0,
MCTS,79.2,10.422207,3.2957911,0.822492,0.12366429,0.039106082,0.7,0.14491376,84.0,68.0,86.5,90.0,63.0,176.4,47.665974,15.073304,0.6800424,0.14750753,303.2,1.6,83.4,8.34,92.5,42.0,
Onestep-S,59.9,15.147051,4.789918,0.63175577,0.19969629,0.06314951,0.3,0.14491376,59.0,48.5,71.0,79.0,33.0,200.2,17.242046,5.4524136,0.6822676,0.147234,318.5,2.1,84.6,8.46,87.2,42.0,
Random,58.4,15.240292,4.819403,0.5991565,0.13276322,0.04198342,0.4,0.15491934,62.0,49.0,70.5,73.0,24.0,182.0,31.605204,9.994443,0.6825554,0.14719835,287.5,3.1,85.7,8.57,80.5,42.0,
Do Nothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,0.0,245.0,1.0,90.0,9.0,39.0,42.0,
