Agent:,Mean score:,Std. deviation:,Std. deviation err:,MaxMinN-Mean:,MaxMinN-SD:,MaxMinN-SE:,Winrate:,Winrate-SE:,Median:,Quart 1:,Quart 3:,Max:,Min:,Mean tick:,Std tick:,Std tick err:,Actions entropy:,Actions entropy err:,Mean num interactions:,Mean num av. interactions:,Mean num sprites:,Mean num sprites added:,Mean num sprites killed:,Mean num wall sprites:,
Explorer,21.4,6.518349,2.0612829,0.8032236,0.24744049,0.078247555,0.0,0.0,20.0,19.0,22.0,36.0,10.0,1752.9,557.7156,176.36514,0.9770674,0.0473357,5864.8,27.5,124.4,12.440001,740.8,267.0,
DeepSearch,19.0,3.4960294,1.1055416,0.72966003,0.23155998,0.07322569,0.0,0.0,18.5,16.0,20.5,25.0,14.0,2000.0,0.0,0.0,0.9370551,0.07680028,10008.2,226.2,198.4,19.84,900.2,267.0,
MCTS,19.8,11.023209,3.4858446,0.69740874,0.31254628,0.09883581,0.0,0.0,19.5,10.0,24.0,38.0,6.0,2000.0,0.0,0.0,0.9997247,0.0052463133,6252.6,370.9,174.6,17.460001,560.0,267.0,
Onestep-S,8.5,9.348203,2.9561613,0.31904152,0.2906786,0.09192064,0.0,0.0,7.5,1.5,9.0,33.0,0.0,596.2,550.66925,174.1369,0.99716675,0.01680839,1692.0,142.1,255.7,25.57,192.0,267.0,
Random,2.6,3.4705107,1.0974718,0.08954177,0.104595885,0.033076122,0.0,0.0,1.5,0.0,3.5,11.0,0.0,272.3,158.74442,50.19939,0.9997743,0.004750493,609.8,74.2,279.8,27.98,76.7,267.0,
Do Nothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1104.0,502.6198,158.94234,0.0,0.0,1658.7,0.9,305.1,30.51,1.9,267.0,
