Agent:,Mean score:,Std. deviation:,Std. deviation err:,MaxMinN-Mean:,MaxMinN-SD:,MaxMinN-SE:,Winrate:,Winrate-SE:,Median:,Quart 1:,Quart 3:,Max:,Min:,Mean tick:,Std tick:,Std tick err:,Actions entropy:,Actions entropy err:,Mean num interactions:,Mean num av. interactions:,Mean num sprites:,Mean num sprites added:,Mean num sprites killed:,Mean num wall sprites:,
Explorer,25.1,8.672433,2.742464,0.91712123,0.17648484,0.055809405,0.7,0.14491376,24.0,21.0,30.0,39.0,7.0,879.0,508.99597,160.95866,0.9588321,0.06282763,30704.4,273.3,202.9,20.289999,181.5,93.0,
DeepSearch,12.3,11.823235,3.738835,0.45023307,0.4021345,0.12716609,0.2,0.1264911,4.5,3.0,21.0,32.0,3.0,531.7,487.8495,154.27155,0.9903956,0.030841773,18465.7,135.0,257.4,25.74,140.5,93.0,
MCTS,16.3,7.024561,2.2213612,0.6404546,0.30878222,0.09764551,0.4,0.15491934,18.0,10.0,20.5,26.0,3.0,1200.3,690.5575,218.37346,0.9998561,0.0037929527,42242.0,280.0,220.8,22.08,250.9,93.0,
Onestep-S,4.1,3.0713735,0.9712536,0.16369215,0.13292472,0.04203449,0.0,0.0,3.0,2.0,4.5,11.0,1.0,186.0,175.15834,55.38993,0.9988443,0.010744016,6622.6,60.5,279.3,27.929998,66.6,93.0,
Random,1.2,1.3165611,0.41633317,0.047878787,0.050662387,0.016020853,0.0,0.0,1.0,0.0,2.0,3.0,0.0,63.5,29.056458,9.188458,0.9973424,0.016280446,2276.6,29.7,299.5,29.95,30.8,93.0,
Do Nothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,71063.4,0.0,322.0,32.2,0.0,93.0,
