Agent:,Mean score:,Std. deviation:,Std. deviation err:,MaxMinN-Mean:,MaxMinN-SD:,MaxMinN-SE:,Winrate:,Winrate-SE:,Median:,Quart 1:,Quart 3:,Max:,Min:,Mean tick:,Std tick:,Std tick err:,Actions entropy:,Actions entropy err:,Mean num interactions:,Mean num av. interactions:,Mean num sprites:,Mean num sprites added:,Mean num sprites killed:,Mean num wall sprites:,
Explorer,5.6,1.2649108,0.39999992,0.7375,0.18114218,0.057282187,1.0,0.0,5.0,5.0,5.0,8.0,5.0,104.8,16.85096,5.328741,0.9388113,0.075792246,4.8,0.0,51.1,5.1099997,11.6,46.0,
DeepSearch,7.4,1.2649095,0.3999995,0.9625,0.11858568,0.037500083,1.0,0.0,8.0,6.5,8.0,8.0,5.0,68.0,25.174944,7.961016,0.99246264,0.027350599,4.3,0.1,51.8,5.18,15.8,46.0,
MCTS,1.7,1.4944341,0.47258157,0.2275,0.19594856,0.061964374,0.7,0.14491376,2.0,0.0,2.0,5.0,0.0,151.4,43.40047,13.724434,0.9998345,0.0040681036,9.7,3.5,49.4,4.94,35.9,46.0,
Onestep-S,1.6,2.0110805,0.6359595,0.2,0.25138506,0.07949494,0.5,0.15811388,1.0,0.0,2.0,5.0,0.0,160.3,49.508804,15.656058,0.99942744,0.007564618,9.0,2.9,49.9,4.9900002,39.1,46.0,
Random,0.4,0.84327406,0.26666668,0.05,0.10540926,0.033333335,0.2,0.1264911,0.0,0.0,0.0,2.0,0.0,136.4,57.78928,18.274574,0.99853164,0.012108693,8.8,2.6,49.2,4.92,31.0,46.0,
Do Nothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,6.0,0.0,48.0,4.8,6.0,46.0,
