Agent:,Mean score:,Std. deviation:,Std. deviation err:,MaxMinN-Mean:,MaxMinN-SD:,MaxMinN-SE:,Winrate:,Winrate-SE:,Median:,Quart 1:,Quart 3:,Max:,Min:,Mean tick:,Std tick:,Std tick err:,Actions entropy:,Actions entropy err:,Mean num interactions:,Mean num av. interactions:,Mean num sprites:,Mean num sprites added:,Mean num sprites killed:,Mean num wall sprites:,
Explorer,25.9,7.922541,2.5053275,0.809375,0.24757941,0.07829148,0.6,0.15491933,32.0,17.0,32.0,32.0,15.0,194.6,46.04391,14.560363,0.0,0.0,421.5,30.3,48.1,4.81,30.3,22.0,
DeepSearch,32.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,32.0,32.0,32.0,32.0,32.0,176.2,12.933993,4.090088,0.0,0.0,386.4,32.0,47.3,4.73,32.0,22.0,
MCTS,31.5,1.0801234,0.341565,0.984375,0.033753857,0.010673907,0.8,0.1264911,32.0,31.0,32.0,32.0,29.0,1416.0,535.7404,169.416,0.0,0.0,2865.5,31.5,92.6,9.26,31.5,22.0,
Onestep-S,5.4,9.617114,3.0411985,0.16875,0.3005348,0.09503745,0.1,0.094868325,2.5,0.5,3.0,32.0,0.0,132.5,87.67649,27.72574,0.0,0.0,281.9,14.9,63.6,6.3599997,14.9,22.0,
Random,0.1,0.31622776,0.1,0.003125,0.009882118,0.003125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.6,31.49674,9.960144,0.0,0.0,127.7,6.5,68.7,6.87,6.5,22.0,
Do Nothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,35.0,3.0,70.7,7.0699997,3.0,22.0,
