Agent:,Mean score:,Std. deviation:,Std. deviation err:,MaxMinN-Mean:,MaxMinN-SD:,MaxMinN-SE:,Winrate:,Winrate-SE:,Median:,Quart 1:,Quart 3:,Max:,Min:,Mean tick:,Std tick:,Std tick err:,Actions entropy:,Actions entropy err:,Mean num interactions:,Mean num av. interactions:,Mean num sprites:,Mean num sprites added:,Mean num sprites killed:,Mean num wall sprites:,
Explorer,23.0,45.104816,14.263395,0.21201286,0.41556588,0.13141347,0.2,0.1264911,2.0,0.0,4.0,111.0,0.0,263.8,171.50887,54.235867,0.56777716,0.15665448,9.3,7.0,121.8,12.18,4.1,88.0,
DeepSearch,110.0,6.582806,2.081666,0.9954955,0.014245024,0.0045046723,1.0,0.0,106.0,106.0,111.0,126.0,106.0,587.9,374.2861,118.35966,0.61393213,0.15395436,37.9,33.3,121.1,12.11,11.8,88.0,
MCTS,3.5,6.6206746,2.093641,0.03269914,0.06251139,0.019767838,0.0,0.0,0.0,0.0,2.5,20.0,0.0,343.1,271.43097,85.83401,0.68225896,0.14723508,17.8,14.8,122.0,12.2,4.9,88.0,
Onestep-S,0.4,0.5163978,0.1632993,0.0037310899,0.004818377,0.0015237046,0.0,0.0,0.0,0.0,1.0,1.0,0.0,120.6,51.82278,16.387802,0.68241733,0.14721546,2.4,1.4,122.1,12.21,1.4,88.0,
Random,0.2,0.6324555,0.2,0.0018867925,0.0059665614,0.0018867924,0.0,0.0,0.0,0.0,0.0,2.0,0.0,107.0,59.172066,18.71185,0.68233466,0.14722571,3.3,2.1,121.9,12.190001,1.2,88.0,
Do Nothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.6,84.44879,26.705051,0.0,0.0,1.4,0.0,121.8,12.18,1.0,88.0,
