Agent:,Mean score:,Std. deviation:,Std. deviation err:,MaxMinN-Mean:,MaxMinN-SD:,MaxMinN-SE:,Winrate:,Winrate-SE:,Median:,Quart 1:,Quart 3:,Max:,Min:,Mean tick:,Std tick:,Std tick err:,Actions entropy:,Actions entropy err:,Mean num interactions:,Mean num av. interactions:,Mean num sprites:,Mean num sprites added:,Mean num sprites killed:,Mean num wall sprites:,
Explorer,277.2,27.095638,8.568393,0.9386266,0.087646745,0.027716335,0.3,0.14491376,287.0,268.0,289.5,300.0,207.0,592.1,300.97083,95.17533,0.8596679,0.10983579,733.5,224.0,584.9,58.49,216.8,546.0,
DeepSearch,290.8,19.67408,6.2214904,0.9837481,0.025490588,0.008060832,0.4,0.15491934,287.0,276.0,289.5,325.0,266.0,1418.0,621.2904,196.46927,0.86103797,0.10938537,2100.7,749.5,560.4,56.04,240.9,546.0,
MCTS,222.4,39.11579,12.369499,0.7496966,0.110530026,0.034952663,0.0,0.0,232.0,184.5,245.0,270.0,150.0,2000.0,0.0,0.0,0.86119145,0.109334685,3020.7,1066.9,609.5,60.95,191.5,546.0,
Onestep-S,143.1,67.909164,21.474764,0.48494142,0.22974381,0.07265137,0.0,0.0,131.5,96.5,149.0,298.0,62.0,1616.4,706.6763,223.47066,0.86074275,0.10948272,2375.6,805.2,676.3,67.63,124.6,546.0,
Random,64.5,41.37699,13.084554,0.22374901,0.14830881,0.046899363,0.0,0.0,67.0,21.5,96.5,116.0,19.0,1150.5,781.0536,246.99083,0.8611919,0.10933453,1749.8,567.4,743.1,74.31,57.3,546.0,
Do Nothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,1835.9,0.0,800.0,80.0,0.0,546.0,
