Agent:,Mean score:,Std. deviation:,Std. deviation err:,MaxMinN-Mean:,MaxMinN-SD:,MaxMinN-SE:,Winrate:,Winrate-SE:,Median:,Quart 1:,Quart 3:,Max:,Min:,Mean tick:,Std tick:,Std tick err:,Actions entropy:,Actions entropy err:,Mean num interactions:,Mean num av. interactions:,Mean num sprites:,Mean num sprites added:,Mean num sprites killed:,Mean num wall sprites:,
Explorer,476.0,225.64476,71.35514,0.19825852,0.09729141,0.030766245,0.0,0.0,440.0,290.0,590.0,920.0,160.0,242.4,87.39466,27.636618,0.68210155,0.14725456,155.0,25.1,41.7,4.17,126.1,0.0,
DeepSearch,2426.0,224.50934,70.996086,0.9932774,0.021256287,0.006721828,1.0,0.0,2420.0,2210.0,2560.0,2780.0,2180.0,1000.0,0.0,0.0,0.67802685,0.14775197,636.7,32.1,86.6,8.66,601.2,0.0,
MCTS,2046.0,385.63657,121.94899,0.8402497,0.15138766,0.047872983,0.5,0.15811388,2180.0,1580.0,2380.0,2420.0,1480.0,877.1,179.2878,56.695778,0.6746914,0.14814956,596.5,79.9,86.4,8.64,512.8,0.0,
Onestep-S,104.0,65.1835,20.612833,0.04298363,0.027260555,0.008620544,0.0,0.0,100.0,30.0,160.0,180.0,20.0,80.8,35.013645,11.072287,0.68220645,0.14724156,40.7,7.0,33.1,3.31,30.7,0.0,
Random,76.0,62.39658,19.731531,0.03241261,0.027131619,0.008579771,0.0,0.0,60.0,20.0,120.0,160.0,0.0,69.0,25.346487,8.015263,0.6798215,0.14753449,38.0,7.4,30.5,3.05,27.1,0.0,
Do Nothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.5,3.62859,1.1474609,0.0,0.0,1.2,0.0,27.5,2.75,0.0,0.0,
