Agent:,Mean score:,Std. deviation:,Std. deviation err:,MaxMinN-Mean:,MaxMinN-SD:,MaxMinN-SE:,Winrate:,Winrate-SE:,Median:,Quart 1:,Quart 3:,Max:,Min:,Mean tick:,Std tick:,Std tick err:,Actions entropy:,Actions entropy err:,
Explorer,1649.9697,5345.2046,208.0618,0.5190716,0.4068696,0.015837377,0.10606061,0.011985581,7.0,0.0,151.0,61872.0,0.0,1800.2682,587.54224,22.87005,0.6763399,0.018211894,
DeepSearch,1276.8136,3413.4692,132.86911,0.5273288,0.41511366,0.016158277,0.10757576,0.012060656,7.0,0.0,190.5,43656.0,0.0,1795.2303,594.3197,23.133862,0.71929187,0.017490737,
MCTS,546.7515,1651.0953,64.2688,0.39791462,0.39318994,0.015304897,0.10151515,0.01175571,4.0,0.0,75.0,10000.0,0.0,1811.4182,572.01385,22.265608,0.7254053,0.017372586,
Onestep,702.91516,3571.4084,139.01688,0.34092388,0.38307685,0.014911246,0.07878788,0.010486669,1.0,0.0,49.0,69790.0,0.0,1857.1439,494.39536,19.244312,0.7406924,0.01705904,
Random,278.13635,894.4014,34.814526,0.2906451,0.36965764,0.014388904,0.07575758,0.010299924,1.0,0.0,32.0,5280.0,0.0,1860.7651,489.7066,19.061804,0.7544215,0.016754452,
Do Nothing,1191.8273,6506.124,253.25053,0.2414181,0.3540415,0.013781046,0.01969697,0.0054088873,0.0,0.0,21.5,49595.0,0.0,1964.15,255.35503,9.939681,0.0,0.0,
